ID,Question,Answer,Choice_A,Choice_B,Choice_C,Choice_D,Rationale_A,Rationale_B,Rationale_C,Rationale_D
416,Maggie is considering a pair of shoes that has a 15% price reduction. What is this discount expressed as a fraction?,B, 1/15 , 3/20 , 1/5 , 3/2 ,"Used 15 from ""15%"" for 1/15.",3/20 = 15%,Calculated 1/5 = 20%.,Calculated 3/2 = 150%.
417,75% of people prefer dogs over cats. Can you represent this percentage as a fraction?,C, 3/25 , 8/12 , 12/16 , 7/5 ,Calculated 3 * 25 = 75.,Interpreted 9/12 =75%. 8/12 = 66.66%,12/16 = 75%,Used digits from percent.
418,Ms. Patel rows her boat a distance of 171 miles across the open sea in 3 hours without any breaks. What is her average rowing speed?,D,17.5 miles per hour,19 miles per hour,51.3 miles per hour,57 miles per hour,"Determined 3/171 = 0.01754, then moved the decimal point.",Determined 171/3/3 = 19.,Did not borrow correctly during division.,171/3 = 57
419,"Laura received a gift of $180 for her birthday. She decided to put aside 40% of it for her college fund. What calculation can be used to determine how much money Laura saved for her college fund, in dollars?",A, 180 • (2/5) , 180 ÷ (2/5) , 180 • 40 , 180 ÷ 40 ,180 * 2/5 = 180 * 40%,Incorrect operation.,Considered 40 is equal to 40%.,Interpreted 40% as multiplication by 1/40.
420,John picked 25 apples in 2 (3/4) hours. How many apples did he pick per hour?,B,7,9,11,15,Calculated 25/(3 2/4) = 7.142857.,25/(2.75) = 9.0909,Calculated 25/2.33 = 10.7296.,Calculated 25/((2 + 3) / 3) = 25/( 5/3 ) = 15.
421,"A large ocean covers approximately 57,500,000 square miles. The Coral Sea encompasses about 17,100,000 square miles. To the nearest tenth, what percent of the ocean's total area is covered by the Coral Sea?",C,3.40%,17.10%,29.70%,33.60%,Calculated 5.75/1.71 = 3.36257.,Moved the decimal point on 1.71 * 10^7.,1.71 * 10^7/(5.75 * 10^7) = 1.71/5.75 = 0.29739,"Calculated 5.75/1.71 = 3.36257, then moved the decimal point."
422,A block of cheese shaped like a cube has a volume of 125 cubic units. What is the length of one edge of the block?,A,5 units,11 units,25 units,42 units,Cube root of 125 = 5.,Calculated the sqrt(125) = 11.1803.,Calculated the area of 1 face. 125/5= 25,Calculated 125/3 = 41.66667.
423,A cube has the surface area of 24 square inches. What is the length of 1 edge of the cube?,A,2 inches,4 inches,6 inches,8 inches,24/6 = 4; Sqrt(4) = 2,Calculated the area of 1 face. 24/6 = 4,Used the number of sides. 6 sides,Used 24/3 dimensions = 8.
424,John has 2/3 of a liter of juice. What is the smallest container size that could hold all of this juice?,C, 1/3 liter, 1/2 liter, 3/4 liter, 1 liter, 1/3 is less than 2/3 and will not hold all of the juice.,1/2 is less than 2/3 and will not hold all of the juice.,3/4 - 2/3 = 9/12 - 8/12 = 1/12,"3/4 is smaller than 1 liter and although it will hold all the juice, it is not the smallest container."
425,Which measurement could be the width of a notebook?,B,9 feet,9 inches,9 miles,9 yards,Chose an inappropriate unit of measure - too large for a notebook.,Recognize that a notebook would be measured in inches.,Chose an inappropriate unit of measure - chose a measure of distance.,Chose an inappropriate unit of measure - too large for a notebook.
426,"An orchestra has p pianists, c cellists, and h harpists. After the conductor recruits 4 more pianists, the number of pianists is twice the combined number of cellists and harpists. What equation describes this situation?",B, p = 2 (c + h) + 4 , p + 4 = 2 (c + h) , p + 4 = 2c + h , 2p + 4 = c + h ,Added 4 to wrong side of equation.,Correct.,Did not multiply 2*h.,"Found 2 times number of pianists, p."
427,The product of n and a number that is 12 more than n equals 160. What equation best describes this situation?,A, n (n + 12) = 160 , n • n + 12 = 160 , 12 + n = 160 , 12n = 160 ,Recognized n times the quantity n + 12 equals 160.,"Did not consider the parentheses, 12 more than the product of n by n.","Chose 12 more than n, not the product of n and a number.","Chose the product of 12 and n, not 12 more than n by n."
428,"Maria purchases h boxes of pencils and b boxes of pens. Each box of pencils contains 10 pencils, and each box of pens has 12 pens. Which equation can Maria use to find out if the number of pencils is equal to the number of pens?",D, 10 • 12 = hb , 10h • 12 = b , 10b = 12h , 10h = 12b ,Multiplied variables together and multiplied coefficients together.,Multiplied 10b by 12 instead of dividing 10b by 12.,Reversed variables.,Recognized that 10h represented the number of pencils in h boxes and 12b represented the number of pens in b boxes and that the number of pencils and pens had to be equal.
429,"John's internet plan allows less than 500GB of data usage every month, which lasts for 4 weeks. Each week, John doubles the amount of data he uses. Which inequality could be used to find d, the amount of data that he can use during the first week?",B,d + 2d + 4d + 6d < 500 ,d + 2d + 4d + 8d < 500 , 2d + 2d + 2d + 2d < 500 , 2d + 4d + 6d + 8d < 500 ,"Increases coefficients of m by adding 2, not doubling.","Recognized that doubled coefficients are 1, 2, 4 and 8.","Constant number of data (2d) for each week, not doubling.","Starting with 2d instead of d and increases coefficients of m by adding 2, not doubling."
430,"A fruit tree, Tree B, bears b fruits every season. Tree S produces 1 less than double the amount of fruit as Tree B. Tree M yields 1 less than triple the fruit quantity of Tree B. The total fruits harvested from all three trees in a season is 22. What equation represents this situation?",D, 3b − 1 = 22 , 5b − 2 = 22 , 6b + 2 = 22 , 6b − 2 = 22 ,Used Tree B's fruit information to create the equation.,Combined Tree S and Tree B's fruits. 2b - 1 + 3b -1 = 5b - 2.,Combined values with variables correctly but added the 2 fruits.,b + 2b - 1 + 3b - 1 = 6b - 2
431,Solve the value n for 1.1n - 0.6 = 4.9.,B, n = 3.9 , n = 5 , n = 9.8 , n = 10 ,Calculated n = (4.9 - 0.6)/1.1 = 4.3/1.1 = 3.909.,Solved 1.1n = 5.5; n = 5.,Calculated n = 4.9/(1.1  - 0.6) = 4.9/0.5 = 9.8.,Calculated n = (4.9 + 1.1)/0.6 = 6/0.6 = 10.
432,"Robert purchases 3 novels at a cost of x dollars each. He also acquires 4 biographies, each costing $1.00 more than a novel, and 2 journals priced at $1.00 less than a novel. Robert can use the equation 3x + 4 (x + 1) + 2 (x - 1) = 80.75 to determine x, the cost of a novel. What is the value of x?",C,$7.34 ,$8.31 ,$8.75 ,$8.97 ,Combined all coefficients and constants to create the new coefficient. (3 + 4 + 4 + 2- 2)x = 80.75; 11x = 80.75; x = 7.340999,Did not consider the negative sign. 3x + 4x + 4 + 2x + 2 = 80.75; 9x + 6 = 80.75; 9x = 74.75; x = 8.305555,3x + 4x + 4 + 2x - 2 = 80.75; 9x + 2 = 80.75; 9x = 78.75; x = 78.75/9 = 8.75,Distributed incorrectly. 3x + 4x + 1 + 2x - 1 = 80.75; 9x = 80.75; x = 8.97222
433,"The formula 24b = t is used to calculate b, the price of a single book when purchased in a set of 24 with a total set price of t dollars. What is the price of a single book if the set is sold for $7.50?",A,$0.31 ,$1.80 ,$3.20 ,$16.50 ,7.50/24 = 0.3125,Solved by substituting 7.5 for b then moved decimal point to get reasonable answer. 24 * 7.5 = 180,Calculated 24 /7.5 = 3.2.,Used an incorrect operation to solve equation and did not interpret the solution correctly. b = 24 - 7.50 = 16.5
434,"A craft store uses the formula p = b(2.25 + 0.35d) to calculate p, the total price, in dollars, of purchasing b beads with d decorations on each bead. Which assertion is accurate?",C,The cost of 3 beads with 2 decorations is $7.45.,The cost of 4 beads with 3 decorations is $10.95.,The cost of 5 beads with 2 decorations is $14.75.,The cost of 6 beads with 1 decorations is $48.50.,Calculated 3 * 2.25 + 0.35 * 2 = 6.75 + 0.70 = 6.45,Switched values for s and t. 3 * (2.25 + 0.35 * 4) = 3 * (2.25 + 1.40) = 3 * 3.65 = 10.95,p = 5 * (2.25 + 2 * 0.35) = 5 * (2.25 + 0.70) = 5 * 2.95 = 14.75,Calculated 6 * 2.25 + 35 = 13.5 + 35 = 48.5
435,A teacher gives an equation 0.2w - 0.6 = 0.8. What of the following about the value of w is correct?,C,The value of w is between 0 and 1.,The value of w is between 1.1 and 5.,The value of w is between 5.1 and 10.,The value of w is between 10.1 and 15.,Calculated (0.8 - 0.6)/0.2 = 0.2/0.2 = 1.,Calculated (0.8 + 0.2)/0.6 = 1.0/0.6 = 1.6667.,W = (0.8 + 0.6)/0.2 = 1.4/0.2 = 7,Multiplied by 0.1 instead of 0.2. (14) * 0.1 - 0.6 = 0.8.
436,Solve the value n for 6n − (4 + 5n) = 7.,D, n = 1 , n = 2 (1/3) , n = 3 , n = 11 ,Calculated 7/(6 - 4 + 5) = 7/(11 - 4) = 7/7 = 1.,Calculated 7/(-6 + 5 + 4) = 7/3 = 2 1/2.,Calculated (7 - 4)/( 6 - 5) = 3.,Calculated n = (7 + 4)/(6 - 5) = 11/1 = 11.
437,The teacher gives an equation. (6x − 4)/2 − 3 + 7 = 5 is part of the model. Which step would be incorrect to solve for x in this equation?,D, (6x − 4)/2 = 1 , (6x − 4)/2 + 7 = 8 , 6x − 4 − 6 + 14 = 10 , (6x − 4)/2 − 10 = 5 ,Added 3 and subtracted 7 from both sides. 5 -7 + 3 = 1,Added 3 to both sides.,Multiplied all terms by 2.,Added -(3 + 7) to get -10 when result should be -3 + 7 = 4.
438,"There are 4 types of avatars in an online game. Each avatar can choose 1 outfit, 1 accessory, and 1 hairstyle. Avatar Options: Ava - 6 Outfit Choices - 1 Accessory Choice - 4 Hairstyle Choices, Bella - 2 Outfit Choices - 2 Accessory Choices - 5 Hairstyle Choices, Chloe - 3 Outfit Choices - 3 Accessory Choices - 4 Hairstyle Choices, Dan - 2 Outfit Choices - 4 Accessory Choices - 3 Hairstyle Choices. Which avatar has the greatest number of combinations of outfit, accessory, and hairstyle?",C,Ava,Bella,Chloe,Dan,Calculated 6 * 1 * 4 = 24.,Calculated 2 * 2 * 5 = 20.,3 * 3 * 4 = 36,Calculated 2 * 4 * 3 = 24.
439,The area of the base of a triangular prism is 24 cm^2. The prism's height is 10 cm. What is the volume of the prism?,C, 34 cm^3 , 120 cm^3 , 240 cm^3 , 480 cm^3 ,Calculated 10 + 24 = 34.,Calculated 1/2 * (24) * 10 = 120.,Area = B * h; 24 * 10 = 240,Calculated 2 * 24 * 10 = 480.
440,Emma has k books in her collection. Jacob owns 2 books more than Emma. What expression represents the total number of books they have combined?,A, k + (k + 2) , k + 2 , 2k , 2 (k + 2) ,Recognized Emma is represented by k and Jacob is represented by k + 2.,Calculated only the money Jacob has.,Doubles Emma's money.,Doubles Jacob's money.
441,What is the total degree of the angles in a hexagon?,B,600°,720°,"1,080°","2,160°",Calculated 6 * 100 = 600,180*(6 - 2) = 180*4 = 720,Angle sum in an octagon.,Calculated 6*360 = 2160
442,"Peter has a spinner with 3 equal sections numbered 1-3 and a dice with 9 sides numbered 1-9. He spins the spinner and rolls the dice, multiplying the two results together. What is the greatest possible product he can get?",C,12,14,27,81,Added instead of multiplying. 3 + 9 = 12,Calculated 1 + 3 + 1 + 9 = 14.,3 * 9 = 27,Calculated 3 * 3 * 9 = 81.
443,"In the formula for calculating profit, p = 5q - 10, by how much should the quantity (q) of goods sold be adjusted to increase the profit (p) by 20?",C,Decrease by 4,Decrease by 6,Increase by 4,Increase by 6,Calculated 20/(5 - 10) = 20/-5 = -4.,Calculated (20 + 10)/(5 - 10) = 30/ -5 = -6.,y + 20 = 5x - 10 + 20 = 5(x + 4) - 10,Calculated (20 + 10)/5 = 6.
444,"In the formula d = 2p + 8, how much should the value of p be altered to reduce the value of d by 16?",B,Decrease by 4,Decrease by 8,Increase by 8,Increase by 12,Calculated 2 * 4 + 8 = 8 + 8 = 16.,d - 16 = 2p + 8 - 16 = 2(p - 8) + 8,"Change would increase t by 16, not decrease by 16.",Calculated 2 * (p + 12) - 8 = 2p + 24 - 8 = 2p + 16.
445,"An engineer employs the formula d = vt + i to plot data on the movement of a robot. d represents the distance covered by the robot, v is the constant velocity (inches per week), t is the time in weeks, and i is the initial position of the robot. When plotting the data for a specific robot's movement, which statement would be accurate?",B,The constant rate of movement per week depends on the starting position of the robot.,The location of the robot depends on the number of weeks that have passed.,The number of weeks that have passed depends on the location of the robot.,The starting location of the robot depends on the constant rate of movement per week.,Both variables are independent of each other.,Height is a dependent variable and weeks is an independent variable.,Reverses dependent and independent variables.,Both variables are independent of each other.
446,"A skyscraper that is y feet tall was built x years ago. For buildings constructed between 1 and 6 years ago, the equation y = 10(x − 1) + 59 describes their height. What ordered pair is compatible with this equation?",D," (0, 0) "," (2, 70) "," (3, 207) "," (5, 99) ","At x = 0, y = 49, not 0.","At x = 2, y = 69, not 70.","At x = 3, y = 79, not 207.",y = 10(5 - 1) + 59 = 10 * 4 + 59 = 40 + 59 = 99
447,"Given the equation 2h + k = 3m, what operation will preserve the equality on both sides of the equation?",C,Add 3m to the left side.,Subtract k from the left side and add k to the right side.,Divide 2h + k by 3 and divide 3m by 3.,Divide 2h by 2 and divide 3m by 2.,Performed operation on only one side.,Completed opposite operations on each side of the equation.,Divided both sides by same number.,"Did not divide ""+k"" by 2 on left side."
448,An equation is presented. x^2 = 4 + y. Which mathematical operation will ensure the equality of this equation?,D,Add 4 to the left side,Subtract 4 from the right side and add 4 to the left side,Multiply x^2 by 4 and multiply y by 4,Divide x^2 by 4 and divide 4 + y by 4,Performed operation on only one side of the equation.,Performed opposite operations on each side of the equation.,"Did not multiply 4 times ""+4"" on right side of the equation.",Divided both sides of the equation by same number.
449,What is the equivalent equation of n 3m + 6p = 18?,C, m + 2p = 3 , m + 3p = 15 , 3m + 6p − 6 = 12 , 3 (m + 2p) = 6 ,"Divided terms on left side by 3, divided terms on right side by 6.","Subtracted 3 from all coefficients, leaving ""(3 - 3)m"" as ""m"".",Subtracted 6 from both sides of the equation.,"Factored out 3 from left side, divided 18/3 to get 6."
450,Emma picks a marble from a collection of 180 marbles and then puts it back. She repeats this process 150 times. She picks a red marble 3 out of 5 times. How many red marbles are likely in the collection?,D,12,60,72,108,Calculated 180/5/3 = 12.,Calculated 180/3 = 60.,Calculated the number of cards not blue. 180 - 108 = 72,Calculated 3/5 * 180 = 540/5 = 108.
451,"A school has 2 meal periods. In the first meal period, 30 out of 250 students purchased lemonade. The second meal period has 300 students. Based on the first meal period, how many students are likely to buy lemonade in the second?",B,12,36,80,90,Did not multiply by 3. 30/250 = 3/25; 1/25 * 300 = 12,30/250 = 3/25; 3/25 * 300 = 36,Calculated 250 - 30 = 220; 300 - 220 = 80.,Used number of students as percent. 0.30 * 300 = 90
452,Samantha sells handmade bracelets for $20 each. She spends $50 on buying new crafting tools. She formulates an equation to calculate her earnings from bracelet sales. Which piece of information could Samantha represent in her equation using a variable?,D,The amount she earns for selling each bracelets,The amount she pays for new crafting tools,The number of days in a week,The number of bracelets she sells.,Chose a known quantity.,Chose a known quantity.,Chose a known quantity.,Correct.
453,"In a fundraiser event, Samantha uses the formula r = 5a + 2c to calculate the total revenue, where r represents the total money raised, a is the number of gourmet cookies sold, and c is the number of classic cookies sold. Which statement is accurate?",D,Samantha is selling 5 gourmet cookies and 2 classic cookies.,Samantha is selling 2 gourmet cookies and 5 classic cookies.,Each classic cookies costs more than each gourmet cookies.,Each gourmet cookie costs more than each adult cookie.,Confused coefficients with number of gourmet and classic cookies sold.,Used 5y + 2x and confused coefficients with number of adult and student tickets sold.,Used 5y + 2x.,The price of an gourmet cookie is $5 and the price of a classic cookie is $2.
454,Simplify the expression 21 + 9 ÷ 3 × 2.,C,5,20,27,48,Used addition and then multiplication.  30 ÷ 6 = 5,Worked from left to right.  30 ÷ 3 x 2 = 10 x 2 = 20,21 + 9 ÷ 3 x 2 = 21 + 3 x 2 = 21 + 6 = 27,"Divided, added and then multiplied.  (21 + 3) x 2 = 24 x 2 = 48"
455,Simplify the expression (8 + 4) / 4 + 9 - 4 • 2.,A,4,10,13,16,12/4 + 9 - 8; 3 + 9 - 8,Entered the expression in a calculator without parentheses.  8 + 4 / 4 + 9 - 4 * 2; 8 + 1 + 9 - 8,Subtracted before muliplying  3 + 5 * 2,"Simplified the rational expression, then simplified from left ot right  3 + 9 - 4 * 2;  12 - 4 * 2; 8 * 2"
456,Simplify the expression 12 - 4 • 2 + 8 • 2.,A,20,32,48,160,12 - 8 + 16 = 4 + 16 = 20,Subtracted before multiplying.  8 x 2 + 8 x 2 = 16 + 16 = 32,Worked from left to right.,"Subtracted first, then added before multiplying.  8 x 10 x 2 = 160"
457,Add 1/5 + 3/20 + 4/3.,C, 2/15 , 2/7 , 101/60 , 141/60 ,"Found a common denominator, but did not change numerators. 4/3 + 3/20 + 1/5 = (4 + 3 + 1)/60 = 8/60",Did not find a common denominator. (4 + 3 + 1)/(3 + 20 + 5) = 8/28,4/3 + 3/20 + 1/5 = (80 + 9 + 12)/60 = 101/60 = 1 41/60,Added whole number (1) incorrectly to numerator at end. 4/3 + 3/20 + 1/5 = 1 20/60 + (9 + 12)/60= 1 41/60 then (141)/60.
458,Mr. Roberts is creating banners for a festival. Each banner requires 4 (5/6) yards of fabric. How much fabric will Mr. Roberts need to create 9 banners?,D, 11 (1/2) yards , 13 (5/6) yards , 36 (5/6) yards , 43 (1/2) yards ,Calculated (4 5/6) * 9; 45/6 = 7 1/2; 4 + 7 1/2 = 11 1/2.,Calculated 4 5/6 + 9 = 13 5/6.,Only multiplied whole numbers.,(4 5/6) * 9 = 29/6 * 9/1 = 87/2 = 43 1/2
459,"A total of 450 books were sold at a bookstore. 15% of customers bought romance novels, 11/20 bought mystery novels, 17.5% bought science fiction novels, and 1/8 bought fantasy novels. How many customers bought either science fiction or fantasy novels?",B,74,135,158,210,Calculated 450 * 1/8 = 56.25; 56.25 + 17.5 = 73.75.,1/8 = 12.5%; 12.5% + 17.5% = 30%; 450 * 0.30 = 135,Found the number of people who preferred the science fiction and doubled.,Calculated 17.5 * 1/8 = 2.1875; 450/2.1875 = 210.
460,Calculate the value of 4^3.,C,12,36,64,81,Calculated 4 * 3 = 12; did not apply exponent rules correctly.,Calculated (4 * 3) + (4 * 3) + (4 * 3) = 12 * 3 = 36.,4^3 = 4 * 4 * 4 = 64,Calculated 3^4 = 3 * 3 * 3 * 3 = 81.
461,"A pack of 9 stickers is priced at $5.85. What proportion can be used to calculate c, the price of 5 stickers?",A, 5/9 = c/5.85 , c/9 = 5/5.85 , 9/5 = c/5.85 , 9/c = 5/5.85 ,Set up the proportion number of stickers/cost of sitckers.,Chose incorrect proportion.,Chose incorrect proportion.,Chose incorrect proportion.
462,"A small apple tree was 110 inches tall when it was 5 years old. After another 10 years, the tree had grown to 143 inches. What was the average rate of growth per year for the tree during this period?",C,1.4,3,3.3,6.6,Calculated 143/(110 - 10) = 1.43.,"Found the reciprocal, with decimal moved.",(143 - 110)/(15 - 5) = 33/10 = 3.3,Calculated 143 - 110 = 33; 33/5 = 6.6.
463,"Jack has 65 blue balls and 15 red balls in a jar. He picks 1 ball at random. To the nearest percent, what is the probability that he picks a red ball?",A,19%,23%,43%,50%,Ratio of read balls to total number of balls. 15/(15+65) =15/80 =0.1875,Calculated 15/65; Red/Blue,Calculated 65/15 with decimal moved. Red/Blue,Considered two colors = 50%.
464,"Sofia is arranging flowers for a bouquet. She has 15 striped flowers, 20 plain flowers, and 10 spotted flowers left. She selects flowers randomly. What is the probability, to the nearest hundredth, that the next flower she picks for her bouquet is a spotted flower?",A,0.22,0.29,0.33,0.44,Ratio of spotted flowers left to total number of flowers.,Chose the ratio of spotted flowers to all other flowers.,Chose the ratio of spotted flowers to total number of flowers.,Chose the ratio of spotted flowers to total number of flowers.
465,The diameter of the base of a cake is 5 inches. What is the area of the cake's base? (Use 3.14 for π.),C,7.9 sq. in.,15.7 sq. in.,19.6 sq. in.,78.5 sq. in.,Multiplied by the radius. 2.5(pi) = 7.85,Used the diameter. 5(pi) = 15.7,3.14 * (2.5)^2 = 19.625,Substituted diameter value for the radius in the formula. (pi)5^2 = 78.5
466,"A game console is on sale with a discount of 25% from its original price. If the original price was $199.00, how much does the customer save?",B,$25.00 ,$49.75 ,$149.25 ,$174.00 ,Converted 25% to $25.00.,0.25(199),Calculated the sale price for the TV.; 199 - 0.25(199),Calculated 199 - 25.
467,"An antique clock was initially listed for $12,050. Mrs. Johnson bought the clock for $10,604. What was the percentage discount that Mrs. Johnson receive?",B,11%,12%,14%,88%,"Divided 12,050 by 10,604 and misinterpreted percentage conversion.",1446/12050 = x/100; x = 12%,Found the amount of discount and divided by the listing price. 1446/10604 = 13.636%,Found the percent of the total cost. 10604/12050 = 88%
468,Julia wants to buy a new laptop. She already has $300. She plans to put aside d dollars every month for a whole year (12 months) to afford the laptop. What expression represents the total amount of money Julia needs to buy the laptop?,A, 12d + 300 , 12d − 300 , 300 − d , (300/12) • d ,Chose the expression with a constant of positive 300 and a rate of change over a 12 month period.,Subtracted $300 instead of adding to 12d.,Did not include 12 months and subtracted instead of adding.,"Divided dollar amounts by 12, and then multiplied."
469,Ryan flipped a coin 20 times. It landed on heads 8 times. What is the relative frequency that the coin landed on heads up?,B,2.50%,40%,50%,67%,Calculated 20/8 = 2.5.,8/20 = 2/5 =40%,Chose the theoretical probability of the fair coin landing heads on.,Chose experimental odds; 8 heads out of 12 tails.
470,A car tire has a diameter of 24 inches. What is the approximate circumference of the tire? (Use 3.14 for π.),B,38 inches,75 inches,151 inches,452 inches,Used the radius. 3.14 * 12 = 37.68,3.14 * 24 = 75.36,Multiplied diameter by 2. 2 * 3.14 * 24 = 150.72,Squared the radius. 3.14 * 12^12 = 452.16
471,Jamie built a circular fountain in the garden. The diameter of the fountain is 10 feet. What is the approximate circumference of the fountain? (Use 3.14 for π.),B,16 feet,31 feet,63 feet,79 feet,Used the radius. 3.14 * 5 = 15.7,3.14 * 10 = 31.4,Doubled the diameter. 2 * 3.14 * 10 = 62.8,Squared the radius. 3.14 * 5^2 = 78.5
472,"John decided to invest in a new computer game priced at $30. The store offered him a 10% discount, but there was a 6% sales tax applied. How much did John end up spending in total?",C,$21.20 ,$25.38 ,$28.62 ,$28.80 ,"Subtracted $10 from $30, then added 6%.",Subtracted 10% of the price from $30 then subtracted 6%.,Subtracted 10% of the price from $30 and then added 6%.,"Calculated tax based on original price, then subtracted the $3."
473,"Last year, a bakery sold 150 loaves of bread each day. This year, their daily sales have decreased to 117 loaves. What is the percentage of change in daily bread sales?",A,22% decrease,22% increase,28% decrease,28% increase,(150 - 117)/150 = 0.22,Interpreted (150 - 117)/150 = 0.22 as increase.,Interpreted (150 - 117)/117 ≈ 0.28 as decrease.,Interpreted (150 - 117)/117 ≈ 0.28 as increase.
474,"Jake recorded the number of minutes he spent reading and playing video games. Time Spent: Monday - 16 minutes reading - 12 minutes gaming, Tuesday - 18 minutes reading - 22 minutes gaming, Wednesday - 25 minutes reading - 29 minutes gaming, Thursday - 21 minutes reading - 20 minutes gaming, Friday - 0 minutes reading - 12 minutes gaming. What is the difference between the mean number of minutes he spent on each activity?",C,1,2,3,4,Calculated the difference between means without Friday averaged in for gaming. 20 - 19 = 1,Calculated the difference between medians. 20 - 18 = 2,19 - 16 = 3,Used Wednesday’s numbers as the middle numbers. Calculated the difference in Wednesday’s numbers. 29 - 25 = 4
475,A group of artists painted a circular painting. The diameter of the painting is 10 feet. What is the approximate area of the mural? (Use 3.14 for π.),B, 31.4 ft.^2 , 78.5 ft.^2 , 246.5 ft.^2 , 314.0 ft.^2 ,Used the diameter. 3.14 * 10 = 31.4,3.14 * 5^2 = 78.5,Squared the quantity of pi x radius. (3.14*5)^2 = 246.49,Squared the diameter. 3.14 * 10^2 = 314
476,"Amy starts painting a wall that measures 175 square feet. She begins at 2:00 p.m. and by 2:30 p.m., she has completed painting 50 square feet of the wall. If she continues at this pace, at what time will she finish painting the entire wall?",A,3:45 p.m.,3:55 p.m.,4:30 p.m.,6:00 p.m.,"He paint the wall at a rate of 100 square feet per hour. He has 125 square feet left, so that would take an additional 1.25 hours.",Represented the additional 1.25 hours as 1 hour 25 minutes.,Calculated 125/50 = 2.5 hrs; 2:00 + 2 hr 30 min.= 4:30.,Calculated 175/50 = 3.5 hours; 2:30 + 3 hr 30 min. = 6:00.
477,"The radius of Earth at its equator is 3,963 miles. The radius of Mars at its equator is 1,516 miles. What is the difference between the circumferences of Earth and Mars at their equators? (Use 3.14 for π.)",C,"2,447 miles","7,684 miles","15,367 miles","20,127 miles",Found the difference between the radii. 3963 - 1516 = 2447,Did not multiply by 2 when finding the circumferences. 3.14 * 3963 - 3.14 * 1516 = 7683.58,2 * 3.14 * 3963 -2 * 3.14 * 1516 = 15367.16,Multiplied only one of the radii by 2. 2 * 3.14 * 3963 - 3.14 * 1516 = 20127.4
478,"In a certain game, the player's power level is determined by subtracting their level from 220 and then multiplying the result by 0.6. How much power does a level 15 player have in this game?",B,117,123,130,211,Calculated 220 * 0.6 - 15 = 117.,(220 - 15) * 0.6 = 123,Calculated 15 * 0.6 = 90; 220 - 90 = 130.,Calculated 220 - 15 * 0.6 = 211.
479,"In a national park, the largest redwood tree has a diameter of 55 inches. What is the circumference of the tree? (Use 3.14 for π.)",B,86 inches,173 inches,345 inches,"2,375 inches",Used the radius. 3.14 * 27.5 = 86.35,3.14 * 55 = 172.7,Multiplied diameter by 2. 2 * 3.14 * 55 = 345.4,Squared the radius.  3.14 * 27.5^2 = 2374.625
480,"On a city map, the scale is 1/2 inch = 20 miles. The distance between 2 landmarks on the map is 5 (1/2) inches. What is the actual distance between the 2 landmarks?",D, 25 (1/2) miles, 55 miles, 110 miles, 220 miles,Added miles and inches. 20 + 5 1/2 = 25 1/2,Multiplied the values given. 1/2 * 20 * (5 1/2) = 55,Multiplied the miles by inches. 20 * (5 1/2 )= 110,(11/2)/(1/2) = 11; 11 * 20 = 220
481,"Sarah had a box of tiles. 1/4 of the tiles had stars on them. After randomly drawing a tile and returning it to the box 100 times, the expected result and actual frequency of drawing a star tile were equal. In the first 50 tiles she drew, she got a star 10 times. How many star tiles did Sarah get in the second 50 draws?",C,10,13,15,25,Chose the number of times a star is picked in the 1st 50 cards drawn.,Calculated 50 * 1/4 = 12.5 and then rounded to 13.,100 * 1/4 = 25 cards w/ stars. 25 - 10 = 15,Calculated 100 * 1/4 = 25 cards w/ stars.
482,Which expression is the same as (1/7)(7y) − y?,A,0,1, (6/7) y , 1y ,(1/7)(7y) - y = y; y = 0,Used 1 as difference of 1y - y.,Grouped incorrectly.  (1/7)(6y),Did not subtract y.
483,Which expression is the same as 2x + 6y - x + y?,B, 2 + 7y , x + 7y , 8xy , − 2x^2 + 6y^2 ,Canceled the x.,(2x - x) + (6y + y) = x + 7y,Combined all of the terms.,Multiplied like terms.
484,"At the start of a winter night, the temperature was recorded as 5°F. By morning, the temperature had fallen 13°F. What was the temperature at dawn?",B, − 18 °F , − 8 °F , 8 °F , 18 °F ,Calculated (-5) - 13 = -18.,5 - 13 = -8,Calculated 13 - 5 = 8.,Calculated 5 + 13 = 18.
485,"Emma is 11 years old. Her siblings are 16, 14, and 8 years old. Her two twin sisters are 18 years old. Emma's father is 45 years old, and her mother is 44 years old. What is the median age of Emma's family members?",D,13 years,15 years,16 years,17 years,Did not order the numbers in ascending order.  (8 + 18)/2 = 13,"Used the numbers listed in the stem. {2, 8, 11, 14, 16, 18, 44, 45}",Only used 18 once when ordering ages.,"The ages are 8, 11, 14, 16, 18, 44, and 45.  (16 + 18)/2 = 17"
486,"During an exercise, Oliver swims for 4 (9/20) miles, Lily bikes for 5 (12/25) miles, and Ethan runs for 6 (1/5) miles. What is the combined distance Oliver, Lily, and Ethan cover during the exercise?",C, 15 (11/50) miles, 15 (11/25) miles, 16 (13/100) miles, 16 (22/25) miles,"Calculated a common denominator, but did not change the numerators. 4 (9/100) + 5 (12/100) + 6 (1/100) = 15 (22/100)",Added the numerators and added the denominators. (4 + 5 + 6) + (9 + 12 + 1)/(20 + 25 + 5) = 15 22/50,4 45/100 + 5 48/100 + 6 20/100 = 15 113/100 = 16 13/100,"Added a number to make the denominator equal 25 and added the same number to the numerator. Then, added the fractions. (4 + 5 + 6) + (9 + 5)/25 + 12/25 + (1 + 20)/25 = 15 (14 + 12 + 21)/2 = 16 22/25"
